Timestamp,--- Section 1: Vendor Profile ---,1. Vendor ID / Name (Optional),2. Gender,3. Age Group,4. List of all Goods/Services sold (Describe the primary items sold),5. Type of Goods Sold,6. Specific Location (Detailed intersection/landmark),7. Current Business Duration (Round Off to Nearest Year - How long have you been operating this business?),8. Primary Mode of Operation,--- Section 2: UPI Usage & Adoption History ---,9. Do you accept UPI (QR Code) payments?,10. Why did you first start using UPI? (Select all that apply),"11. Do you pay any monthly fees (e.g., Soundbox rent) or transaction charges for using UPI?","12. Out of every 10 customers, how many pay via UPI? (Estimate)","13. How often do you experience technical/network issues (e.g., transaction fails, slow network)?","--- Section 3: Sales, Volume & Management ---",14. What is the most common amount a customer pays for a single item (average ticket size)?,"15. On an average day, roughly how many total customers do you serve?",16. Is your daily collection amount generally the same every day?,17a. Earnings on the Busiest Day (Last 7 days) (Approximate figure in Rupees),17b. Earnings on the Slowest Day (Last 7 days) (Approximate figure in Rupees),"18. In the last 1 hour, how many total customers came?",19. How many of those customers (in the last hour) used UPI?,20. Is it easier to keep track of your daily earnings with UPI or Cash?,"21. Do you feel you ""save"" more money now because UPI goes directly to the bank?","22. Compared to the same time last year, how has your overall business (sales volume/revenue) changed?",--- Section 4: Perceptions & Efficiency ---,23. Has the time taken per transaction changed using UPI?,"24. Out of every 10 customers, how many pay via Cash? (Estimate)",25. How many customers (who pay in cash) do you lose in a week because you don't have change?,26. Are you worried about all your transactions being recorded digitally?,27. Do customers ever leave because the UPI payment is taking too long?,28. Which mode do you prefer for your business?,--- Section 5: Surveyor Internal Consistency Check ---,C.1 Do the buckets for UPI (Q12) and Cash (Q24) sum to approximately 10?,"C.2 If the vendor said business is 'Very Steady,' is the difference between Busiest and Slowest day less than 30%?",C.3 Does the ratio of UPI users in the last hour (Q18/Q19) fall within the general day bucket (Q12)?,C.4 Was a QR code physically visible and reachable?,C.5 General atmosphere during interview:
4-8-2026 23:12:56,1,Das Medical Stores,Male,60+,Medicines,"Perishables (e.g., fruits, vegetables, cooked food)",Medicines,37,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),0-2,Weekly,3,?100-?500,40,Very Steady (Collections are consistent),35000,20000,8,0,Cash (Physical count is better),,Declined (20%+ decrease),4,,9-10,0-2,"Yes, I am worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Cooperative
4-8-2026 23:15:02,1,,Male,30-44,"Packaged food(Chips, Biscuits, etc)","Perishables (e.g., fruits, vegetables, cooked food)",GLT Road(not in main road),5,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"To avoid the problem of change, He supports using UPI",No (Free),0-2,Rarely (Less than once a month),3,?20-?100,60,Somewhat Fluctuating,4000,2000,4,0,,,Stayed the Same,4,Faster with UPI,9-10,0-2,,Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-8-2026 23:16:48,1,,Male,60+,"Bread, Chips, Ice cream","Perishables (e.g., fruits, vegetables, cooked food)",Near Baine Hospital,25,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,No (Free),6-8,Rarely (Less than once a month),3,?20-?100,30,Very Steady (Collections are consistent),3000,500,6,2,,,Declined (20%+ decrease),4,,0-2,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Slightly different,Clearly Visible,Cooperative
4-8-2026 23:21:02,1,,Male,60+,Groceries,"Perishables (e.g., fruits, vegetables, cooked food)",GLT Road,30,Permanent Stall (Pucca/Semi-Pucca structure),2,No,,,0-2,,3,?20-?100,100,Somewhat Fluctuating,12000,3000,12,0,,,Stayed the Same,4,,9-10,0-2,,,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,None found (Vendor stated they don't accept UPI),Distracted
4-9-2026 13:09:50,1,Sajal,Male,60+,"Tea, Cigarette","Perishables (e.g., fruits, vegetables, cooked food)",Beside geology gate,35,Permanent Stall (Pucca/Semi-Pucca structure),2,No,,,,,3,Below ?20,50,Very Steady (Collections are consistent),1500,1200,3,,,,Declined (20%+ decrease),4,,,0-2,,,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",,,Matches exactly,None found (Vendor stated they don't accept UPI),Suspicious
4-9-2026 13:18:44,1,Rajen Mahapatra,Male,60+,"Water, choclate, chips,","Perishables (e.g., fruits, vegetables, cooked food)",Opposite side of deluxe garden,50 years +,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change",Yes (monthly rent for device/service),9-10,Weekly,3,Below ?20,60,Somewhat Fluctuating,750,500,15,11,UPI (Bank record helps),No difference in saving habits,Significantly Grown (20%+ increase),4,Faster with UPI,3-5,3-5,"No, I am not worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Slightly different,Clearly Visible,Cooperative
4-9-2026 13:30:07,1,Dava india pharmacy,Male,18-29,Medicines,"Perishables (e.g., fruits, vegetables, cooked food)",Beside ISI quarter,9 am - 10 pm (tuesday off),Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change",Yes (monthly rent for device/service),9-10,Rarely (Less than once a month),3,?20-?100,60-70,Very Steady (Collections are consistent),3000-4000,2200-2500,4,3,UPI (Bank record helps),"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,0-2,0-2,Neutral/Don't care,Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Slightly different,Clearly Visible,Cooperative
4-9-2026 13:37:46,1,,Male,30-44,"Chips, pan masala, biscuit, cold drinks, water ","Perishables (e.g., fruits, vegetables, cooked food)","GLT road, Dunlop",5 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,To avoid the problem of change,Yes (monthly rent for device/service),6-8,Monthly,3,Below ?20,20-30,Somewhat Fluctuating,700-800,500,10,8,UPI (Bank record helps),"Yes, it helps me save more",Stayed the Same,4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Slightly different,Clearly Visible,Distracted
4-9-2026 13:47:33,1,,Male,18-29,Pet shop,"Perishables (e.g., fruits, vegetables, cooked food)",Dunlop glt,4 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,,3-5,Rarely (Less than once a month),3,?20-?100,13,Somewhat Fluctuating,1000,600,0,0,No difference,No difference in saving habits,Stayed the Same,4,No change,3-5,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Cooperative
4-9-2026 14:43:52,1,,Male,30-44,Medicine,"Non-Perishables (e.g., clothes, small electronics, repair services)",glt road ,10 year,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Other vendors were using it,No (Free),6-8,Rarely (Less than once a month),3,?100-?500,60-70,Very Steady (Collections are consistent),5000+,<2000,5,5,UPI (Bank record helps),"Yes, it helps me save more",Stayed the Same,4,Slower (due to network/verification),0-2,0-2,Neutral/Don't care,Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Slightly different,Clearly Visible,Cooperative
4-9-2026 15:32:40,1,,Male,30-44,stationary items + xerox shop,"Non-Perishables (e.g., clothes, small electronics, repair services)",glt road (near isi back gate),10 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Other vendors were using it,No (Free),6-8,Monthly,3,20-150,50-60,Somewhat Fluctuating,2500-3000,<1000,3,0,No difference,No difference in saving habits,Declined (20%+ decrease),4,No change,3-5,0-2,Neutral/Don't care,Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Major contradiction,Hidden/Asked for,Distracted
4-9-2026 17:24:15,1,,Male,30-44,Velphuri-alukabli-papdi chat,"Perishables (e.g., fruits, vegetables, cooked food)",Near dunlop more,15 year,Mobile Cart (Thela/Rehri),2,No,,,,,3,?20-?100,35-40,Somewhat Fluctuating,1500,500-600,9,,,,Declined (20%+ decrease),4,,,3-5,,,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",,,Matches exactly,None found (Vendor stated they don't accept UPI),Cooperative
4-9-2026 19:31:58,1,Tarak Dey,Male,60+,Snacks ,"Perishables (e.g., fruits, vegetables, cooked food)",Near ISI gate 205,55,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"He don't use UPI , his son works here everyday for 2-3hr and he uses UPI from his phone ",No (Free),0-2,Rarely (Less than once a month),3,?20-?100,40-45,Somewhat Fluctuating,3k,1.5k,5-6,1-2,Cash (Physical count is better),No (I withdraw it immediately),Stayed the Same,4,Faster with UPI,0-2,3-5,"No, I am not worried",,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",No (Flag for data cleaning),Yes,Major contradiction,None found (Vendor stated they don't accept UPI),Cooperative
4-9-2026 19:33:16,1,Ram Yadav,Male,45-59,Tea and snacks ,"Perishables (e.g., fruits, vegetables, cooked food)",Bonhoogly signal,44,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),3-5,Weekly,3,?20-?100,50,Somewhat Fluctuating,700,100,10,5,No difference,"Yes, it helps me save more",Declined (20%+ decrease),4,Faster with UPI,6-8,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Cooperative
4-9-2026 19:34:22,1,Ramesh kumar,Male,30-44,General snacks,"Perishables (e.g., fruits, vegetables, cooked food)",Bonhoogly signal,5 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,,3-5,Weekly,3,?20-?100,150-200,Somewhat Fluctuating,2000,1000-1200,15,5,Cash (Physical count is better),"Yes, it helps me save more",Stayed the Same,4,Faster with UPI,6-8,NA,Neutral/Don't care,Sometimes,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-9-2026 19:39:43,1,Akash Yadav,Male,18-29,Cooked meals,"Perishables (e.g., fruits, vegetables, cooked food)",Bonhoogly signal ,27,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?20-?100,25,Somewhat Fluctuating,700,100,10,5,Cash (Physical count is better),No (I withdraw it immediately),Declined (20%+ decrease),4,Faster with UPI,3-5,3-5,"No, I am not worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Slightly different,Clearly Visible,Cooperative
4-9-2026 19:49:31,1,Dilip,Male,45-59,Musical instruments ,"Perishables (e.g., fruits, vegetables, cooked food)",Rsm,42,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (small charge per sale/transaction),3-5,Monthly,3,?100-?500,8,Somewhat Fluctuating,2000,700,2,1,Cash (Physical count is better),No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,6-8,0-2,"No, I am not worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Suspicious
4-9-2026 19:49:57,1,Shefali Porey,Female,60+,Grocery ,"Perishables (e.g., fruits, vegetables, cooked food)","Backside of ISIK, ghosh street ",30 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),0-2,Rarely (Less than once a month),3,?20-?100,15-20,Somewhat Fluctuating,2.5k-3k,1k-1.5k,2-3,0,Cash (Physical count is better),No (I withdraw it immediately),Stayed the Same,4,Slower (due to network/verification),6-8,0-2,"No, I am not worried",Sometimes,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Major contradiction,Hidden/Asked for,Cooperative
4-9-2026 20:09:07,1,Banik bandar,Male,60+,Grocery ,"Perishables (e.g., fruits, vegetables, cooked food)",Opposite to shreeguru,20,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, Other vendors were using it",Yes (monthly rent for device/service),3-5,Weekly,3,?20-?100,60,Somewhat Fluctuating,500,100,10,5,Cash (Physical count is better),No difference in saving habits,Declined (20%+ decrease),4,Faster with UPI,6-8,0-2,"No, I am not worried",Sometimes,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Distracted
4-9-2026 20:13:58,1,Nilesh Datta,Male,30-44,Hotel food item (lunch and dinner),"Perishables (e.g., fruits, vegetables, cooked food)","Backside of ISIK, GLT Road",3 months ,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (small charge per sale/transaction),3-5,Rarely (Less than once a month),3,?20-?100,40-50,Very Steady (Collections are consistent),2k-3k,500-1k,8-10,4-5,Cash (Physical count is better),No (I withdraw it immediately),Stayed the Same,4,Faster with UPI,6-8,0-2,"Yes, I am worried",Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Hidden/Asked for,Cooperative
4-9-2026 20:21:21,1,Pravir karmakar,Male,45-59,Photo studio,"Non-Perishables (e.g., clothes, small electronics, repair services)",Glt road,72 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),3-5,Weekly,3,?20-?100,25,Very Steady (Collections are consistent),1000,400,5,2,Cash (Physical count is better),"Yes, it helps me save more",Stayed the Same,4,Faster with UPI,6-8,0-2,"No, I am not worried",Sometimes,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,No (Potential perception bias),Matches exactly,Clearly Visible,Cooperative
4-9-2026 20:25:16,1,Tanushree Sen,Female,45-59,Service (Male and female saloon),"Non-Perishables (e.g., clothes, small electronics, repair services)","Backside of ISIK, GLT ",25 years ,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (small charge per sale/transaction),6-8,Rarely (Less than once a month),3,2k,10,Very Unsteady (Collections vary greatly),15k,7k,0,0,UPI (Bank record helps),"Yes, it helps me save more",Stayed the Same,4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Major contradiction,Clearly Visible,Cooperative
4-9-2026 20:28:43,1,Nishant,Male,30-44,Hardware,"Non-Perishables (e.g., clothes, small electronics, repair services)",Glt road,12 years,Permanent Stall (Pucca/Semi-Pucca structure),2,No,,,,,3,1000,7-8,Somewhat Fluctuating,20000,4000,0,,Cash (Physical count is better),,Significantly Grown (20%+ increase),4,,,0-2,,,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",,,Matches exactly,None found (Vendor stated they don't accept UPI),Cooperative
4-9-2026 20:39:21,1,Susovan Paul,Male,30-44,Service (jewellers),"Non-Perishables (e.g., clothes, small electronics, repair services)","Backside of ISIK, GLT ",1 years ,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,3k-5k,1-2,Very Steady (Collections are consistent),2 lakh ,3.5k,0,0,UPI (Bank record helps),No (I withdraw it immediately),Stayed the Same,4,Faster with UPI,6-8,0,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",No (Flag for data cleaning),,Major contradiction,Clearly Visible,Distracted
4-9-2026 20:40:23,1,Chandan interior,Male,18-29,Interior ,"Non-Perishables (e.g., clothes, small electronics, repair services)",GLT road,6,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, To avoid the problem of change, Other vendors were using it",Yes (small charge per sale/transaction),6-8,Rarely (Less than once a month),3,Above 500,10,Somewhat Fluctuating,3000,700,2,2,UPI (Bank record helps),"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,3-5,0-2,Neutral/Don't care,Sometimes,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Major contradiction,Clearly Visible,Cooperative
4-9-2026 20:53:52,1,Sanjay Chaudhary ,Male,30-44,Goods ( Musical Instruments),"Non-Perishables (e.g., clothes, small electronics, repair services)","Backside of ISIK, GLT ",50 years ,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),6-8,Rarely (Less than once a month),3,10k,1-3,Very Unsteady (Collections vary greatly),Nil,Nil,0,0,UPI (Bank record helps),"Yes, it helps me save more",Stayed the Same,4,Faster with UPI,0-2,0-2,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Major contradiction,Clearly Visible,Not much cooperative 
4-9-2026 20:54:28,1,Oriental music,Male,30-44,Musical Instruments ,"Non-Perishables (e.g., clothes, small electronics, repair services)",Glt Road,50,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?100-?500,6,Somewhat Fluctuating,2500,500,1,1,Cash (Physical count is better),No difference in saving habits,Stayed the Same,4,,6-8,0-2,Neutral/Don't care,Never,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Distracted
4-9-2026 21:05:15,1,Pradeep Pandey ,Male,45-59,Goods ( Paints and plywood),"Non-Perishables (e.g., clothes, small electronics, repair services)","Backside of ISIK, GLT ",20 years ,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),3-5,Rarely (Less than once a month),3,2k-3k,30-35,Somewhat Fluctuating,5k,1k,4-5,3-4,UPI (Bank record helps),No difference in saving habits,Stayed the Same,4,Faster with UPI,3-5,0,"No, I am not worried",Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-9-2026 21:33:23,1,Moner swad,Male,30-44,Pasteries and snakes,"Perishables (e.g., fruits, vegetables, cooked food)",Near Bonhoogly lake,1,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,"Customers kept asking for it, Other vendors were using it",Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?20-?100,30,Somewhat Fluctuating,5000(revenue)denied sharing profit,1000,8,6,UPI (Bank record helps),"Yes, it helps me save more",Stayed the Same,4,Faster with UPI,3-5,0-2,"No, I am not worried",Sometimes,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-9-2026 21:54:49,1,Sutirtha dey,Male,30-44,Ice cream,"Perishables (e.g., fruits, vegetables, cooked food)",Bonhoogly ,3,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?20-?100,70,Somewhat Fluctuating,4000,1500,15,12,UPI (Bank record helps),"Yes, it helps me save more",Significantly Grown (20%+ increase),4,Faster with UPI,3-5,0-2,"No, I am not worried",Sometimes,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-10-2026 13:46:37,1,,Male,45-59,Food items ,"Perishables (e.g., fruits, vegetables, cooked food)",glt road (near dunlop),6 month,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,To avoid the problem of change,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?100-?500,25,Somewhat Fluctuating,6000,750,5,4,UPI (Bank record helps),"Yes, it helps me save more",Stayed the Same,4,Faster with UPI,0-2,0-2,Neutral/Don't care,Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-10-2026 13:48:32,1,Green apple,Male,30-44,Grocery,"Non-Perishables (e.g., clothes, small electronics, repair services)",Behind SOSU,17 yrs,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,Yes (monthly rent for device/service),6-8,Weekly,3,?20-?100,100-150,Very Steady (Collections are consistent),7000,5000,10,,,No difference in saving habits,Stayed the Same,4,Faster with UPI,0-2,3-5,,,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Cooperative
4-10-2026 13:59:51,1,Khokon store,Male,45-59,"Chips, cold drinks","Perishables (e.g., fruits, vegetables, cooked food)",Dunlop more,1,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,Yes (monthly rent for device/service),6-8,Daily,3,?20-?100,15,Somewhat Fluctuating,2000,1500,10,,,,Stayed the Same,4,No change,0-2,0-2,,,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Matches exactly,Clearly Visible,Cooperative
4-10-2026 14:09:17,1,RS traders,Male,45-59,Electrical,"Non-Perishables (e.g., clothes, small electronics, repair services)",Opposite metro ,40,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,No (Free),3-5,Weekly,3,?100-?500,12,Somewhat Fluctuating,5000,4000,2,,,,Significantly Grown (20%+ increase),4,Faster with UPI,3-5,Na,,,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Cooperative
4-10-2026 14:09:29,1,New variety stores,Female,30-44,Groceries,"Perishables (e.g., fruits, vegetables, cooked food)",Opposite dunlop more,70,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,Yes (small charge per sale/transaction),6-8,Rarely (Less than once a month),3,?20-?100,30-35,Somewhat Fluctuating,7000,3000,2,2,UPI (Bank record helps),No difference in saving habits,Declined (20%+ decrease),4,No change,0-2,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-10-2026 14:18:20,1,Animal planet,Male,18-29,Pet store,"Perishables (e.g., fruits, vegetables, cooked food)",Opposite to metro,4,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,No (Free),6-8,Monthly,3,?100-?500,5,Somewhat Fluctuating,2000,1500,0,,,,Significantly Grown (20%+ increase),4,Faster with UPI,,0-2,,,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Cooperative
4-10-2026 14:22:59,1,Some pharmacy,Male,30-44,Medicines,"Perishables (e.g., fruits, vegetables, cooked food)",Dunlop more,15 days,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Since start,Yes (monthly rent for device/service),6-8,Rarely (Less than once a month),3,?100-?500,Didnt disclose,Somewhat Fluctuating,Didnt disclose,Didnt disclose,Didnt disclose,,UPI (Bank record helps),,Stayed the Same,4,,,0-2,,,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",No (Flag for data cleaning),Yes,Slightly different,Clearly Visible,Suspicious
4-10-2026 14:29:57,1,Shakti battery stores,Male,30-44,Batteries,"Perishables (e.g., fruits, vegetables, cooked food)",Below dunlop bridge,30 years,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),0-2,Rarely (Less than once a month),3,3000+,3,Very Steady (Collections are consistent),20000,15000,0,0,No difference,No difference in saving habits,Stayed the Same,4,No change,9-10,0-2,"No, I am not worried",Never,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Slightly different,Clearly Visible,Cooperative
4-10-2026 14:33:03,1,Ajay store,Male,30-44,"Dry food, chips etc","Perishables (e.g., fruits, vegetables, cooked food)",Opposite to metro,35,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,No (Free),6-8,Weekly,3,?20-?100,150,Very Steady (Collections are consistent),5500,5000,30,,,,Declined (20%+ decrease),4,,,0-2,,,Both are equally good,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,,Slightly different,Clearly Visible,Distracted
4-10-2026 14:39:08,1,Pratima jewellers,Male,45-59,Jewellery,"Non-Perishables (e.g., clothes, small electronics, repair services)",B.T. road towards sodepur,15 year,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,Customers kept asking for it,No (Free),9-10,Rarely (Less than once a month),3,>1000,1-2,Very Unsteady (Collections vary greatly),-,-,-,-,No difference,,Stayed the Same,4,No change,0-2,0-2,Neutral/Don't care,Never,UPI,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",,,Slightly different,Hidden/Asked for,Cooperative
4-10-2026 14:43:56,1,Rohit's shop,Male,30-44,"Chips, cold drinks","Perishables (e.g., fruits, vegetables, cooked food)",Opposite to metro,60,Permanent Stall (Pucca/Semi-Pucca structure),2,Yes,,Yes (monthly rent for device/service),6-8,Weekly,3,?20-?100,55,Very Steady (Collections are consistent),550,500,5,,,,Significantly Grown (20%+ increase),4,,,3-5,,Sometimes,Cash,"FOR THE SURVEYOR, FILL IMMEDIATELY AFTER INTERVIEW BASED ON PREVIOUS ANSWERS.",Yes,Yes,Matches exactly,Clearly Visible,Cooperative
